Date,StrategyOne,StrategyTwo,StrategyThree
1991.02,123521.79,80619.77,109020.04
1991.03,127437.06,81325.40,111463.54
1991.04,130473.34,82032.65,113432.73
1991.05,130405.65,82747.56,113780.60
1991.06,131022.04,83479.07,114493.58
1991.07,132207.87,84210.38,115504.58
1991.08,135906.50,84922.60,117822.19
1991.09,135661.71,85613.83,118066.16
1991.10,136071.42,86307.21,118650.50
1991.11,136256.98,87001.43,119117.36
1991.12,137691.86,87650.98,120213.89
1992.01,147968.45,88350.39,125806.76
1992.02,147251.63,89052.28,125857.74
1992.03,145934.72,89779.04,125621.29
1992.04,146488.34,90514.33,126315.20
1992.05,149679.60,91234.58,128318.91
1992.06,147864.07,91944.09,127820.52
1992.07,150853.91,92625.09,129702.87
1992.08,152440.71,93302.80,130878.18
1992.09,153185.70,93964.79,131624.53
1992.10,151548.09,94664.36,131205.42
1992.11,155884.61,95378.85,133784.75
1992.12,161140.89,96078.54,136798.79
1993.01,161544.28,96759.99,137399.94
1993.02,164497.36,97417.00,139199.59
1993.03,168200.21,98078.19,141352.34
1993.04,166122.08,98741.47,140776.92
1993.05,167496.78,99416.39,141835.14
1993.06,169116.04,100067.24,142994.02
1993.07,169392.05,100723.80,143519.92
1993.08,172543.73,101353.08,145392.35
1993.09,175049.39,101979.13,146952.13
1993.10,177392.14,102611.89,148436.76
1993.11,177579.19,103281.46,148932.49
1993.12,179324.79,103951.69,150159.66
1994.01,182609.37,104617.16,152066.47
1994.02,182650.32,105328.30,152539.50
1994.03,180234.44,106096.18,151940.86
1994.04,174396.18,106895.16,149789.34
1994.05,176416.30,107708.72,151231.57
1994.06,178545.42,108542.65,152736.58
1994.07,177799.63,109362.50,152903.47
1994.08,183445.29,110193.13,156040.48
1994.09,185119.53,111068.21,157360.00
1994.10,184479.94,111967.73,157633.10
1994.11,183979.55,112881.87,157974.98
1994.12,182276.96,113794.98,157754.40
1995.01,186916.58,114694.56,160420.14
1995.02,194220.71,115564.08,164242.37
1995.03,199359.67,116438.14,167076.38
1995.04,205940.46,117303.58,170517.78
1995.05,213004.32,118098.92,174090.93
1995.06,219944.14,118890.66,177576.60
1995.07,227915.43,119708.00,181484.45
1995.08,229266.75,120515.94,182606.29
1995.09,237957.62,121317.67,186763.29
1995.10,240309.08,122107.56,188280.07
1995.11,246149.80,122873.02,191199.51
1995.12,254660.72,123624.74,195171.40
1996.01,255263.71,124384.58,195970.26
1996.02,270498.37,125202.57,202430.78
1996.03,270146.33,126048.83,202949.33
1996.04,270866.04,126935.79,203900.22
1996.05,277421.18,127845.56,207064.89
1996.06,281150.22,128746.47,209152.19
1996.07,271584.94,129661.21,206303.17
1996.08,280113.85,130597.02,210254.53
1996.09,285963.22,131511.91,213152.85
1996.10,297911.97,132392.23,218285.53
1996.11,313126.56,133244.88,224527.09
1996.12,317061.37,134144.14,226658.19
1997.01,327565.65,135061.12,231026.15
1997.02,342021.82,135989.03,236702.10
1997.03,340084.84,136961.79,236894.01
1997.04,328715.17,137918.23,233908.32
1997.05,359161.88,138874.05,245108.19
1997.06,378494.10,139816.55,252259.29
1997.07,400367.42,140707.17,260043.34
1997.08,401950.64,141640.49,261382.03
1997.09,406928.23,142550.88,263757.69
1997.10,413807.64,143433.59,266695.38
1997.11,409239.66,144326.44,266093.03
1997.12,420199.93,145207.31,270306.80
1998.01,421392.19,146069.56,271467.70
1998.02,448533.45,146948.92,280334.82
1998.03,472531.55,147836.57,288086.84
1998.04,488804.92,148748.35,293545.31
1998.05,487920.89,149632.09,294176.26
1998.06,488687.58,150505.95,295250.59
1998.07,510693.33,151389.79,302236.99
1998.08,475335.10,152221.42,293439.53
1998.09,452279.38,152977.13,287615.72
1998.10,458306.71,153758.71,290112.42
1998.11,508739.77,154558.53,305552.26
1998.12,529791.37,155353.25,312149.81
1999.01,556707.80,156155.29,319953.46
1999.02,556540.36,157043.84,320850.73
1999.03,572996.87,157929.51,325959.05
1999.04,597524.63,158833.26,333061.87
1999.05,597134.98,159777.31,333991.12
1999.06,593685.97,160747.22,334194.50
1999.07,620710.51,161737.48,341958.66
1999.08,597509.68,162742.31,337439.31
1999.09,594142.91,163739.53,337678.84
1999.10,586791.75,164761.70,336940.16
1999.11,628648.01,165811.66,348638.18
1999.12,646488.74,166900.47,354189.51
2000.01,645926.62,168031.69,355358.20
2000.02,630142.41,169133.76,352969.18
2000.03,655158.12,170184.35,360034.81
2000.04,664687.51,171270.83,363473.70
2000.05,646041.44,172372.50,360453.04
2000.06,666663.87,173442.88,366492.30
2000.07,672528.15,174520.52,369073.62
2000.08,679043.05,175558.35,371754.68
2000.09,671919.34,176612.69,371317.85
2000.10,637122.30,177665.22,364432.48
2000.11,632409.34,178680.90,364420.63
2000.12,611638.53,179646.73,360449.17
2001.01,614625.28,180621.78,362234.84
2001.02,601715.32,181569.67,360239.91
2001.03,547348.08,182523.11,348265.11
2001.04,550008.24,183544.49,350027.70
2001.05,588012.64,184577.90,360800.98
2001.06,574188.69,185618.87,358541.22
2001.07,559141.75,186610.55,355846.49
2001.08,547926.27,187572.97,354008.91
2001.09,486587.77,188500.19,339124.87
2001.10,502272.51,189376.61,344368.33
2001.11,527834.07,190336.61,352349.34
2001.12,535773.97,191344.04,355509.14
2002.01,534396.57,192363.64,356249.48
2002.02,516716.30,193359.96,352828.32
2002.03,542455.86,194446.05,360651.78
2002.04,523633.88,195485.66,357005.49
2002.05,509103.59,196522.52,354330.87
2002.06,479219.40,197525.08,347465.74
2002.07,427951.25,198474.05,334296.34
2002.08,433030.41,199372.13,336668.54
2002.09,412672.04,200185.25,331431.57
2002.10,407258.92,201050.02,330595.90
2002.11,434422.18,201970.54,339842.85
2002.12,430151.87,202828.14,339394.89
2003.01,429419.47,203718.86,340062.53
2003.02,402140.67,204566.02,333112.81
2003.03,407615.27,205434.52,335575.49
2003.04,429349.12,206312.29,342859.19
2003.05,452344.96,207112.58,350243.84
2003.06,478332.95,207939.79,358303.52
2003.07,481406.35,208924.35,360135.99
2003.08,480833.72,209922.96,361001.36
2003.09,496240.07,210832.59,366084.81
2003.10,506521.60,211807.92,369816.18
2003.11,512877.16,212793.27,372503.94
2003.12,528801.83,213767.83,377675.44
2004.01,555099.57,214730.14,385091.11
2004.02,561359.19,215666.78,387581.43
2004.03,552820.01,216582.26,386567.67
2004.04,558399.56,217622.14,389025.27
2004.05,544335.70,218694.03,386864.48
2004.06,560104.64,219755.14,391821.35
2004.07,547817.69,220803.46,390038.92
2004.08,540461.95,221809.52,389339.05
2004.09,555714.22,222797.50,394128.23
2004.10,556514.29,223771.43,395365.94
2004.11,583276.06,224809.42,402948.49
2004.12,599393.96,225826.26,407842.85
2005.01,591561.54,226835.39,407273.52
2005.02,601736.91,227895.06,410706.87
2005.03,600444.83,228978.92,411650.14
2005.04,586244.19,230011.87,409695.21
2005.05,594306.91,231007.62,412603.66
2005.06,607490.74,231993.97,416629.48
2005.07,618697.48,233053.33,420280.60
2005.08,620853.19,234064.43,421886.37
2005.09,622827.57,235140.93,423532.53
2005.10,606751.53,236265.41,421309.14
2005.11,630996.18,237380.97,427948.29
2005.12,644749.24,238481.91,432180.17
2006.01,654439.21,239617.32,435457.61
2006.02,654577.02,240764.58,436832.62
2006.03,664537.38,241975.60,440253.18
2006.04,670082.95,243232.64,442844.22
2006.05,665067.98,244508.36,443363.60
2006.06,647348.99,245794.01,441340.43
2006.07,652251.25,247053.02,443816.02
2006.08,667424.55,248264.55,448327.32
2006.09,684540.88,249460.38,453177.71
2006.10,709506.56,250654.80,459543.29
2006.11,723937.52,251824.14,463734.67
2006.12,739717.03,253047.77,468230.17
2007.01,745088.01,254306.16,470734.67
2007.02,757216.49,255519.38,474373.15
2007.03,738765.86,256752.35,472660.21
2007.04,769857.92,257985.81,479742.30
2007.05,796186.90,259280.79,485945.24
2007.06,799183.86,260610.21,488124.79
2007.07,804026.27,261881.35,490540.76
2007.08,770556.87,263112.55,486357.31
2007.09,794470.88,264363.09,492124.47
2007.10,818459.57,265591.76,497806.95
2007.11,779439.64,266709.03,492543.08
2007.12,789332.01,267849.09,495686.07
2008.01,737306.51,268901.30,488499.73
2008.02,726055.18,269939.19,487828.00
2008.03,707278.58,270958.08,485782.81
2008.04,737499.97,272050.55,492503.04
2008.05,756624.58,273221.90,497264.84
2008.06,724808.98,274376.29,493253.97
2008.07,681089.70,275530.61,486927.52
2008.08,695691.14,276658.20,490993.17
2008.09,662287.91,277790.30,486226.65
2008.10,529124.16,278958.66,462200.18
2008.11,483959.54,279886.79,452967.59
2008.12,482510.22,280653.92,453423.67
2009.01,477479.97,281576.27,453305.83
2009.02,445810.48,282540.71,447154.61
2009.03,420773.38,283424.46,442077.21
2009.04,472716.96,284416.70,456239.24
2009.05,504355.90,285492.57,464764.33
2009.06,519024.30,286589.63,469248.56
2009.07,525872.87,287676.78,471969.52
2009.08,568722.86,288747.67,482416.51
2009.09,589674.93,289798.50,487895.22
2009.10,604053.67,290872.27,492002.20
2009.11,616916.57,291903.01,495718.75
2009.12,630859.08,293091.94,499818.49
2010.01,639661.17,294230.24,502734.69
2010.02,621407.75,295379.55,500977.83
2010.03,658535.26,296585.00,509026.55
2010.04,685680.53,297751.29,515070.74
2010.05,645677.51,298832.81,509784.34
2010.06,623102.28,299825.66,507052.07
2010.07,622381.34,300813.45,508095.51
2010.08,628016.03,301694.58,510138.17
2010.09,649420.98,302588.08,515011.46
2010.10,679370.23,303506.41,521324.25
2010.11,696535.81,304475.79,525387.67
2010.12,722633.60,305572.01,531059.76
2011.01,747896.56,306699.68,536196.46
2011.02,771708.92,307842.79,541064.11
2011.03,763418.36,309001.48,541384.08
2011.04,780633.40,310117.16,545243.58
2011.05,786057.13,311176.21,547344.17
2011.06,757597.57,312264.15,544764.98
2011.07,781343.95,313259.19,549423.92
2011.08,700505.77,314110.88,539104.21
2011.09,695271.43,314881.18,539214.71
2011.10,716515.37,315704.92,543497.34
2011.11,729445.88,316518.28,546437.14
2011.12,741058.30,317281.61,549088.63
2012.01,776731.98,318031.43,554758.49
2012.02,809302.96,318829.81,559933.96
2012.03,832896.38,319693.27,563960.28
2012.04,832872.13,320479.74,564938.53
2012.05,807467.22,321172.38,562681.74
2012.06,798472.42,321887.34,562425.93
2012.07,822054.25,322556.87,566221.10
2012.08,850153.98,323248.19,570545.00
2012.09,876093.77,323963.29,574557.15
2012.10,874500.44,324695.84,575276.88
2012.11,850038.30,325408.31,573258.20
2012.12,868803.50,326159.71,576465.79
2013.01,906124.49,326981.34,581481.04
2013.02,927526.88,327775.98,584697.32
2013.03,953034.36,328563.95,588281.68
2013.04,967170.51,329304.12,590620.99
2013.05,1011642.13,330171.28,596102.16
2013.06,1000658.49,331137.66,596359.90
2013.07,1033474.52,332133.91,600824.63
2013.08,1036384.22,333187.95,602524.13
2013.09,1049026.33,334196.12,605058.87
2013.10,1071498.20,335188.94,608469.63
2013.11,1113085.79,336238.07,613674.31
2013.12,1130291.12,337368.05,616749.13
2014.01,1141525.92,338400.53,619043.09
2014.02,1140357.90,339436.70,620396.84
2014.03,1171665.03,340494.96,624257.40
2014.04,1174336.86,341534.91,625908.05
2014.05,1192611.34,342528.47,628649.45
2014.06,1230982.42,343540.36,632889.67
2014.07,1249678.16,344562.97,635665.75
2014.08,1244663.19,345525.46,636645.47
2014.09,1267070.08,346533.01,639656.85
2014.10,1233901.50,347496.46,638651.74
2014.11,1304500.44,348414.87,645030.28
2014.12,1313065.59,349334.07,646895.47
2015.01,1298838.19,350107.59,647110.74
2015.02,1335826.22,350986.31,650548.00
2015.03,1336888.90,351846.32,651808.47
2015.04,1348929.61,352739.37,653764.69
2015.05,1362429.37,353659.81,655846.78
2015.06,1356822.56,354648.48,656931.92
2015.07,1356058.06,355591.21,658220.25
2015.08,1323552.53,356543.65,657674.71
2015.09,1264321.86,357444.67,655403.07
2015.10,1319124.15,358380.28,660121.47
2015.11,1358056.79,359336.08,663806.86
2015.12,1343420.67,360311.91,664331.91
2016.01,1257658.26,361193.10,661337.79
2016.02,1251072.96,362020.02,662141.38
2016.03,1330848.42,362857.79,667530.27
2016.04,1368780.00,363716.45,670640.09
2016.05,1364940.28,364581.27,671671.88
2016.06,1379790.12,365333.19,673434.50
2016.07,1425527.60,366078.43,676688.14
2016.08,1442912.46,366863.61,678603.62
2016.09,1436912.46,367655.94,679424.24
2016.10,1429975.14,368518.88,680315.61
2016.11,1447442.17,369556.63,682655.41
2016.12,1504781.43,370613.70,686901.49
2017.01,1526706.81,371686.70,689300.84
2017.02,1566304.76,372740.53,692297.97
2017.03,1593987.01,373793.98,694845.17
2017.04,1591867.64,374818.37,696291.17
2017.05,1619095.41,375818.80,698722.03
2017.06,1648142.40,376851.76,701259.71
2017.07,1664731.60,377884.19,703359.58
2017.08,1669183.65,378863.17,704954.11
2017.09,1697068.89,379913.02,707461.28
2017.10,1743736.96,380976.95,710607.90
2017.11,1771741.79,382055.05,713137.83
2017.12,1823081.58,383132.14,716407.26
